Responsável,ARTIGO,BIBTEX,Ano,Autores,Conferencia (Local de Publicação),"Repositorio (PubMed Capes, ACM IEEE)",Citações (Google Scholar),"Plataforma (WhatsApp, Telegram, Discord, WeChat, etc)",País,"conjunto de dados utilizados para fazer analise (Não usou, mensagens, entrevistas, coleta, dado fornecido por usuario). survey de outros artigos...",Tamanho do dataset (Se tiver coletado dado direto da rede social),"Tópico  dos dados (Política, Saúde, Outro?)","Quais as características mais internas dessas plataformas que favorecem o espalhamento de desinformação? (por exemplo: ambiente é criptografado, é anonimo, é dificil de rastrear,  não da pra checar veracidade, viraliza muito facil etc etc) Coisas internas aos sistemas do WhatsApp Telegram Etc","Quais os principais problemas externos à plataformas e da sociedade que facilitam o espalhamento de desinformação levantados pelo artigo? Desafios apontados externos ao WhatsApp/Efeitos da desinformação na população (alguns exemplos: caracteristicas da população em geral, sociedade polarizada, topicos polemicos, característica geracionais, entre outros fatores que favorecem o compartilhamento de fake news)","Quais os impactos causados pela desinformação/fake news na nossa sociedade levantados pelo artigo? Quais os problemas causados em consequência da fake news (alguns exemplos: manipulação de eleições (e outras opiniões), deterioramente da saúde, impactos na saúde, educação, tecnologia etc)","O artigo tem alguma Soluções propostas EFETIVA para combate a desinformação? ( Exemplos: Modelo de IA para detecção de desinformação, arquitetura especifica para checar os fatos, colaboração com agencia de fact-checking, mudanças nas diretrizes e funcionamento das plataformas, políticas publicas de combate a desinformação)",Quais os meios de combate à desinformação tem sido aplicado nessas plataformas,OBSERVAÇÕES
Helom,"Legitimating falsehood in social media: A discourse analysis of political fake news - Ebuka Elias Igwebuike, Lily Chimuanya, 2021",doi:10.1177/1750481320961659,2021,"Ebuka Elias Igwebuike, Lily Chimuanya",Discourse & Communication (SAGE Publications),Capes,94,"WhatsApp (principal), Facebook, Twitter",Nigéria,Coleta direta de 120 postagens falsas (amostragem proposital),120 postagens,Política,"o artigo destaca características internas do WhatsApp, Facebook e Twitter que facilitam a disseminação de desinformação. O WhatsApp é mencionado como a plataforma mais fácil de usar para compartilhar notícias falsas devido a funções como encaminhamento em massa, interações em grupo e compartilhamento de fotos e vídeos","menciona fatores como, a polarização política e a manipulação de eleições na Nigéria","o artigo menciona impactos como a manipulação de eleições, o aumento de tensões étnicas e políticas, e casos específicos, como a morte de duas pessoas devido a uma notícia falsa sobre o Ebola.",artigo não propõe soluções diretas para combater a desinformação. o texto foca mais na análise de estratégias de noticias falsas,"O artigo menciona que o Facebook tentou implementar políticas contra notícias falsas, mas não detalha outras medidas específicas aplicadas pelas plataformas.",
Helom,Weak Supervision for Fake News Detection via Reinforcement Learning | Proceedings of the AAAI Conference on Artificial Intelligence,Wang_Yang_Ma_Xu_Zhong_Deng_Gao_2020,2020," Yaqing Wang, Weifeng Yang, Fenglong Ma, Jin Xu, Bin Zhong, Qiang Deng, Jing Gao",AAAI 2020 – Association for the Advancement of Artificial Intelligence,Capes,12,WeChat,China,Notícias + feedbacks de usuários (WeChat),Não detalhado,Geral,O artigo não aborda especificamente características técnicas das plataformas,Não entra em detalhes,"Pânico social, erosion of trust e perdas financeiras","O artigo propõe o WeFEND, um framework baseado em aprendizado por reforço que usa relatórios dos usuários para rotular notícias não verificadas",O artigo não discute ações diretas das plataformas,
João Francisco,"“Fake Elections”? Cyber Propaganda, Disinformation and the 2017 General Elections in Kenya",Maweu02102019,2019,JM Maweu,African Journalism Studies,Capes,53,"Twitter, Facebook, Whatsapp",Quênia,Análise qualitativa de de textos que circularam nas plataformas em 2017,-,Política,"Viralidade, Bots, Baixa barreira de entrada, Amplificação algoritmica","Polarização política + Empresas (Cambridge Analytica, Aristotle Inc...), Viéses Cognitivos (Alinhamento com visões pré-existentes), Pessoas de 18-35 se informando primariamente por midias sociais, Desconfiança para com Instituições (Alimentado pela polarização e empresas)","Afeta integridade dos resultados de eleições, desconfiança em instituições e mídia, incita Violência, Discurso de ódio","NÃO, (cita leis de proibição de fake news e críticas a elas)",-,difícil afirmar se é sobre uma plat especifica
João Francisco,A study of misinformation in audio messages shared in whatsapp groups,10.1007/978-3-030-87031-7_6,2021,"A Maros, JM Almeida, M Vasconcelos",Multidisciplinary International Symposium on Disinformation in Open Online Media,Capes,17,Whatsapp,Brasil,Mensagens de grupos públicos de whatsapp (emw),43k audios,Geral,Forwarding de mensagens (citação de art. do Philipe),Não discute diretamente,"Polarização, desconfiança em instituições",Não discute diretamente,Não discute diretamente,
João Francisco,Deep reinforcement learning-based approach for rumor influence minimization in social networks,jiang2023deep,2023,"J Jiang, X Chen, Z Huang, X Li, Y Du",Applied Intelligence,Capes,13,-,-,4 datasets diferentes,varia,Combate,Rápido espalhamento de rumores (viralidade),-,"Conflitos políticos, mudanças de opinião pública, desrupção social, Danos a saúde","RLBD, modelo de dRL ",-,não é sobre nenhuma rede específica
João Francisco,Disinformation networks: A quali-quantitative investigation of antagonistic Dutch-speaking Telegram channels,Willaert_Peeters_Seijbel_Van_Raemdonck_2022,2022,"T Willaert, S Peeters, J Seijbel, N Van Raemdonck",First Monday,Capes,28,Telegram,Holanda,mensagens de grupos de Telegram,371k mensagens,Política,"Falta de moderação, Chats one-way, rápido espalhamento (Viralidade)",-,"Ameaças a cientistas, mobilização de protestos",-,Governo holandes ordenou bloqueio de um canal,
João Francisco,Exploring fake news identification using word and sentence embeddings,doi:10.3233/JIFS-189865,2021,"VT Priyanga, JP Sanjanasri, VK Menon, EA Gopalakrishnan, KP Soman",Journal of Intelligent & Fuzzy Systems,Capes,15,-,-,"LIAR, ISOT",varia,Combate,Falta de moderação,-,Desrupção social,Words e Sentence embeddings,-,
João Francisco,Fake News Detection using Machine Learning,kulkarni2021fake,2021,"P Kulkarni, S Karwande, R Keskar","International Conference on Automation, Computing and Communication",Capes,12,-,-,scraping de sites de notícias,-,Combate,"""Não abordado diretamente. O artigo foca no modelo de detecção, sem analisar características específicas de plataformas.

Não há detalhes sobre criptografia, arquitetura ou affordances técnicas.""",Velocidade de disseminação; Presença de bots; Consequências sociais graves;,"Violência (linchamentos, manifestações violentas), Manipulação política: Viés de opinião pública",Classificadores baseados em ML,-,
João Francisco,Connectivity Between Russian Information Sources and Extremist Communities Across Social Media Platforms,10.3389/fpos.2022.885362,2022,"R Leahy, NJ Restrepo, R Sear",Fontiers in Political Science,Capes,7,"Telegram, VK, Gab",Rússia,Dataset autoral baseado em snowball,-,Política,"""Free speech absolutism"", falta de moderação",Influência de Governos,-,-,-,
João Francisco,Interactive mapping of Covid-19 misinformation in Ibero-America,colmenero2023interactive,2023,"MJ Colmenero-Ruiz, FC Paletta, A Gonzales-Aguilar",El profesional de la información,Capes,3,-,"Latam, Espanha, Portugal",Dataset da Chequeado,>5000 fact checks,Outro,-,"Pós verdade, Dr Google","erosão da confiabilidade em profissionais da saúde, riscos a saúde","fact-checking, alfabetização digital",avisos de fact checking,
João Francisco,The Pushshift Telegram Dataset,Baumgartner_Zannettou_Squire_Blackburn_2020,2020,"J Baumgartner, S Zannettou, M Squire",Proceedings of the International AAAI Conference on Web and Social Media,Capes,102,Telegram,-,dataset paper (fizeram o dataset coletando mensagens de 28k canais e 2.2m usuários únicos,317m mensagens,-,"Sem limite de encaminhamento (cita o aritgo do Philipe!), criptografia",,-,-,,
Juan,"#RumorsCOVID-19: Predicting the Forwarding of Online Rumors in Wuhan, China and in Israel - Yaron Ariel, Vered Elishar-Malka, Shuo Seah, Dana Weimann-Saks, Gabriel Weimann, 2022",doi:10.1177/17480485221074848,2022,"Yaron Ariel, Vered Elishar, Dana Weimann saks, Gabriel Weimann.",The International Communication Gazette,Capes,5,Whatsapp e WeChat,Israel,O estudo utilizou dados auto-declarados pelos usuários através de uma pesquisa online (survey) com questionários estruturados,918 participantes no total,rumores online relacionados à pandemia de COVID-19,Velocidade e acessibilidade,"Falta de informação oficial,  Indivíduos com habilidades cognitivas mais fracas tendem a circular rumores online com mais intensidade, Clima Político e Estrutura da Mídia","desafios e implicações socioeconômicas, 
Comportamentos Coletivos Impulsionados pelo Pânico","O artigo não propõe diretamente novas soluções efetivas pelos autores do estudo. No entanto, ele menciona: Regulamentação Governamental, Informação de Contra-Rumor pelas Autoridades e Maturidade das Crenças Epistêmicas dos Usuários",Regulamentação Governamental Direta (China),
Juan,A Taxonomy of Fake News Classification Techniques: Survey and Implementation Aspects | IEEE Journals & Magazine | IEEE Xplore,9734026,2022,"DHIREN ROHERA , HARSHAL SHETHNA1, KEYUR PATEL, URVISH THAKKER, SUDEEP TANWAR , RAJESH GUPTA , WEI-CHIANG HONG , AND RAVI SHARMA",IEEE Access,Capes,75,-,Estados Unidos,"Artigos de Notícia rotulados como fake ou real (""news articles"")",6335,"Empresarial, saúde, entretenimento, ciência, e tecnologia",-,-,"A desinformação influencia diretamente o comportamento eleitoral e ameaça instituições democráticas. - A desinformação impacta psicologicamente os indivíduos com problemas relcionado a stress, ansiedade e depressão.  - Diminui a  credibilidade da mídia tradicional","Modelos baseados em Deep Learning (DL): RNN, GAN, CNN, EANN.   -  Estratégias para intervir em tempo real com base no comportamento e papel de cada usuário na rede, punindo usuários que postam fake news",,
Juan,"Chat Apps and Cascade Logic: A Multi-Platform Perspective on India, Mexico, and the United States - Jacob Gursky, Martin J. Riedl, Katie Joseff, Samuel Woolley, 2022",doi:10.1177/20563051221094773,2022," Jacob Gursky, Martin J. Riedl, Katie Joseff
 and Samuel Woolley",Social Media + Society,Capes,39,"WhatsApp, Telegram e Signal"," Índia, México e Estados Unidos","
O estudo é baseado em entrevistas aprofundadas",-,Outro,"criptografia, impossibilidade de moderação, amplo alcance","Mudança para o Populismo de Direita, 
Problemas Existentes de Desinformação, Comunidades da Diáspora","Perpetuação de Violência e Desinformação, Manipulação de Esforços Políticos, Impacto e Manipulação Eleitoral",-,"Restrição de Funcionalidades de Compartilhamento pelas Plataformas, ",
Juan,Detection of False Information in Spanish Using Machine Learning Techniques | SpringerLink,10.1007/978-3-031-21753-1_5,2022,"Arsenii Tretiakov, Alejandro Martín, David Camacho",Lecture Notes in Computer Science,Capes,4,"WhatsApp, Telegram, Facebook,Twitter, YouTube",Espanha,"Para a análise, foi coletado um corpus único de diferentes tipos de informações e afirmações falsas. Este corpus foi dividido em dois tipos: notícias VERDADEIRAS e FALSAS.","No total, o experimento foi conduzido com 2.742 amostras de fakes e 2.750 de notícias verdadeiras","Política, saúde e outros",-,"Ações de partidos políticos, Pressão social e mobilização, 
Informações oficiais confusas, Intenção de criar confusão e teorias da conspiração","Influência em processos políticos, Impacto na saúde pública, Criação de confusão e polarização, Aumento de discurso de ódio",Modelo de Machine Learning (ML) ajustado (fine-tuned BERT),-,
Juan,Fake face image detection using feature network | International journal of health sciences,10.53730/ijhs.v6nS5.9310,2022,"D Jayaram, M Venu Gopalachari, S. Rakesh, J Shiva Sai, e G Kiran Kumar",International Journal of Health Sciences,Capes,3,"Instagram, Whatsapp, Facebook, Snapchat e Twitter",Índia,"imagens de rostos, divididas em categorias de imagens reais e imagens falsas",-,Outro,velocidade do fluxo de dados,-,"Incitação de multidões, Sabotagem da credibilidade de políticos",uma estrutura de rede neural modificada chamada Fake Feature Network (FFN) -  um classificador e aprendizado pareado (pairwise learning) para a detecção de imagens falsas,-,
Juan,Full article: Misinformation and professional news on largely unmoderated platforms: the case of telegram,Herasimenka03042023,2023,"Aliaksandr Herasimenka, Jonathan Bright, Aleksi Knuutila, Philip N.
 Howard",Journal of Information Technology & Politics,Capes,48,Telegram,Estados Unidos,O estudo baseou-se em um conjunto de dados de acesso aberto (open-access dataset) ,317 milhões de mensagens do Telegram de 28.000 canais públicos,Outro,"Moderção de Conteúdo Limitada, Afilições de Transmissão ""Um para Muitos"" (Canais), ","
Empacotamento Sensacionalista e Emocional do Conteúdo, Engajamento Partidário, ","
Deterioração da Confiança Institucional e Democrática, 
Intensificação de Conflitos e Tensões, ",-,-,
Juan,Implementing A Passive Aggressive Classifier To Detect False Information,lajurkar2023implementing,2023,"Alkesh S. Lajurkar, Abhijeet R. Rupune, Madhubala N. Lahabar, Akanksha S. Umak, Prof. A. U. Chaudhari",International Journal of Advanced Research in Computer and Communication Engineering (IJARCCE),Capes,3," Facebook, WhatsApp, Instagram e Twitter",Índia?,"As notícias autênticas foram obtidas através do rastreamento (crawling) do site Reuters.com, enquanto as notícias fraudulentas foram coletadas de uma variedade de fontes não confiáveis que foram relatadas por Politifact (uma organização de verificação de fatos) e Wikipedia",-,Outro,"devido às suas características de baixo custo, facilidade de uso, acessibilidade e disponibilidade","as pessoas, apesar de serem ""constantemente sobrecarregadas com informações"", ""carecem das ferramentas, experiência e habilidades necessárias para verificá-las""","impacto na percepção da verdade e na confiança, ",Modelo de Classificador Passivo-Agressivo com Classificação de Texto TfidfVectorizer para combater notícias falsas,-,
Juan,Journal of Medical Internet Research - Medical and Health-Related Misinformation on Social Media: Bibliometric Study of the Scientific Literature,info:doi/10.2196/28152,2022,"Andy Wai Kan Yeung, Anela Tosevska, Elisabeth Klager, Fabian Eibensteiner, Christos Tsagkaris, Emil D Parvanov, Faisal A Nawaz, Sabine Völkl-Kernstock, Eva Schaden, Maria Kletecka-Pulker, Harald Willschke,  Atanas G Atanasov",Journal of Medical Internet Research,Capes,150,"Twitter, YouTube e Facebook",Estados Unidos,"Para realizar a análise, os pesquisadores acessaram o banco de dados eletrônico Web of Science Core Collection e o PubMed para identificar artigos científicos relevantes",-,Saúde,-,"Sensacionalismo e deturpação de informações científicas, 
Influência de figuras sociais sem conhecimento especializado, Tópicos polarizadores, 
""Câmaras de eco"" e viés de confirmação, Desconfiança em profissionais médicos, Conteúdo factual minoritário, ","Deterioração de programas de vacinação, Reaparecimento de doenças preveníveis por vacina, Criação de confusão e desconfiança, Propagação de rumores, estigma e teorias da conspiração, Impacto na saúde mental","Moderação de plataformas e consulta a especialistas, Educação do usuário e verificação de informações, ",-,
Juan,Misinformation messages shared via WhatsApp in Mexico during the COVID-19 pandemic: an exploratory study | Health Promotion International | Oxford Academic,10.1093/heapro/daad041,2023,"Veronika J. Wirtz, Gabriel Millán-Garduño, Jennifer Hegewisch-Taylor, Anahi Dreser, Andrea Anaya-Sanchez, Tonatiuh T. González-Vázquez, Ricardo Escalera, Pilar Torres-Pereda",Health Promotion International,Capes,9,WhatsApp,México,"Seis autores da equipe de pesquisa coletaram todas as mensagens de WhatsApp relacionadas à COVID-19 que receberam em seus WhatsApps pessoais, bem como de seus contatos e redes sociais, no período de 18 de março a 30 de junho de 2020",106 mensagens de WhatsApp,Saúde,"
Criptografia e natureza privada","Uso de mídias sociais não regulamentadas como fonte de informação, Homofilia em mídias sociais, 
Susceptibilidade à desinformação, ","Baixa adesão a recomendações sanitárias, Redução do conhecimento sobre COVID-19, Danos à saúde e bem-estar, Contribuição para a desconfiança nas autoridades, Impacto político","Colaboração com organizações não-governamentais (ONGs) e fact-checking, vigilância governamental",A Metafact's na Índia está usando PNL para identificar e combater a desinformação,
Marcos,A Dataset of Fact-Checked Images Shared on WhatsApp During the Brazilian and Indian Elections | Proceedings of the International AAAI Conference on Web and Social Media,Reis_Melo_Garimella_Almeida_Eckles_Benevenuto_2020,2020,"Julio C. S. Reis,Philipe Melo,Kiran Garimella,‡Jussara M. Almeida,Dean Eckles,‡Fabr ́ıcio Benevenuto",Proceedings of the international AAAI conference on web and social media,Capes,83,Whatsapp,"Brasil (BR)
Índia (IN)",Algoritmo PDQ para comparar imagens checadas por fact-check e as imagens coletadas em grupos públicos do WhatsApp,"Imagens:
34k - Brasil
810k - Índia",(Política),Criptografia e ambiente fechado; Acesso via grupos públicos; Predominância de imagens,Contextos político-eleitorais; Consequências violentas; Vulnerabilidade regional,Violência física; Manipulação democrática; Erosão institucional,Dataset para detecção automática; Limitação de encaminhamentos,Fact-checking colaborativo; Restrições técnicas,
Marcos,COMMENT: Narrative-based misinformation in India about protection against Covid-19: Not just another “moo-point”,hurford2022narrative,2022,"Hurford, Beth, Rana, Abhishek and Sachan, Rohan",Indian journal of medical ethics,Capes,7,"WhatsApp, Facebook",Índia,"Análise narrativa, uso de eventos noticiados, revisão da literatura",-,"Saúde, cultura e política",Uso intenso de redes sociais como WhatsApp e Facebook; Maior engajamento com fontes falsas do que com fontes confiáveis; Amplificação por figuras públicas em redes sociais,Crenças culturais e religiosas enraizadas; Endosso por líderes políticos e religiosos; Polarização e desinformação vinda do Estado; Raciocínio motivado,Risco direto à saúde e à vida; Violação de direitos humanos; Perda de confiança nas autoridades e políticas públicas; Ampliação do contágio pela adoção de práticas ineficazes;,Campanhas de informação pública; Criação de força-tarefa nacional; Chatbots e unidades de checagem,Uso da mídia tradicional pelo governo; Chatbot oficial para disseminação de informações corretas,
Marcos,Discursive strategies for disinformation on WhatsApp and Twitter during the 2018 Brazilian presidential election | First Monday,recuero2021discursive,2021,"Raquel Recuero, Felipe Bonow Soares, Otávio Vinhas",First Monday,Capes,46,"(WhatsApp, Twitter)",Brasil (BR),Banco de dados construído a partir de grupos públicos,"WhatsApp: 101.255 mensagens
Twitter: 3.557.448 tweets",(Política),"WhatsApp como ambiente fechado e privado; Diferenças de affordances entre plataformas; Baixa possibilidade de checagem pública no WhatsApp; Recurso de compartilhamento viral via incentivo direto; Estrutura emocional das mensagens no WhatsApp (emojis, urgência)","Alta polarização política; Campanha desinformativa coordenada por atores políticos; Uso do WhatsApp em grandes grupos públicos com pouca interação, mas muito compartilhamento; ",Desconfiança no sistema eleitoral; Prejuízo à democracia e instituições públicas; Reflexo após as eleições,O artigo é analítico e não apresenta soluções concretas.,São mencionadas ações pontuais externas às plataformas: A remoção de vídeos por ordem judicial; Verificação por agências de fact-checking,
Marcos,Hold Your Fingers: The Communication Ethics on WhatsApp Based on the Hadith | Hasanah | Jurnal Komunikasi: Malaysian Journal of Communication,hasanah2023hold,2023,USWATUN HASANAH BUSRO BUSRO,Jurnal Komunikasi: Malaysian Journal of Communication,Capes,1,WhatsApp,Indonésia (IDN),Coleta direta de mensagens de WhatsApp,217 mensagens,(Saúde),Funcionalidade de encaminhamento em massa; Ambiente fechado e não moderado; Facilidade de compartilhamento multimodal,Comportamento acrítico dos usuários; Tendências emocionais e demográficas; Desconfiança institucional e religiosa;; Analfabetismo digital,Riscos à saúde pública; Conflitos sociais e desestabilização; Erosão da confiança institucional,O artigo propõe um framework ético baseado no Hadith: Silêncio como proteção; Compartilhamento seletivo; Investigação obrigatória,"O artigo menciona ações limitadas do WhatsApp, como limitações técnicas, mas não cita nenhuma outra medida interna (como IA ou parcerias). A ênfase está em soluções comportamentais dos usuários, não em ferramentas da plataforma.",
Marcos,WhatsApp and audio misinformation during the Covid-19 pandemic | Profesional de la información,cardoso2022whatsapp,2022,Gustavo Cardoso; Rita Sepúlveda; Inês Narciso,iscte-iul,Capes,15,WhatsApp,Não aborda um país específico,Não utiliza coleta própria de dados,-,Saúde,"O artigo detalha várias características internas do WhatsApp que favorecem a disseminação de desinformação, tais como: Criptografia e falta de moderação; Dificuldade de rastreamento e atribuição de autoria; Formatos variados e facilidade de uso; Popularização do áudio como formato emocional e íntimo; Sensação de segurança e credibilidade por vir de contatos conhecidos",Baixa literacia textual e científica; Urgência por informação e incerteza durante a pandemia; Falta de clareza na comunicação governamental; Confiança no emissor mais do que no conteúdo,Criação de alarme social e desconfiança institucional; Circulação de conteúdo enganoso sobre tratamentos e vacinas; Dificuldade de checagem e rastreamento; Mortalidade causada por desinformação,"O artigo menciona algumas iniciativas, mas não propõe soluções novas: Checagem de fatos por agências especializadas (Polígrafo e Observador); Limitações impostas pelo WhatsApp ao encaminhamento de mensagens",Limitação de encaminhamentos e avisos aos usuários; Ação de plataformas de fact-checking e cobertura jornalística,
Renan,A hierarchical network-oriented analysis of user participation in misinformation spread on WhatsApp - ScienceDirect,NOBRE2022102757,2022,"Gabriel Peres Nobrea, Carlos H. G. Ferreiraa,b,c, Jussara M. Almeida","Information Processing & Management
Volume 59, Issue 1, January 2022, 102757",Capes,58,WhatsApp,Brasil,Dataset de nensagens do WhatsApp,155 grupos públicos de WhatsApp,(Política),"Novamente, como é uma plataforma que preza a criptografia de ponta a ponta e grupos interligados por usuários em comum, que funcionam como ponte de conteúdo. O encaminhamento rápido de mensagens, a dificuldade de rastreamento e a ausência de mecanismos nativos de checagem de fatos criam um ambiente propício à viralização de informações falsas. Além disso, o anonimato relativo dos usuários, a recirculação de conteúdo antigo e a distribuição desigual da atividade — com poucos usuários sendo responsáveis por grande parte da desinformação — tornam o WhatsApp um canal eficaz e opaco para campanhas coordenadas de desinformação.",,,,,
Renan,"Analyzing Misinformation Claims During the 2022 Brazilian General Election on WhatsApp, Twitter, and Kwai",hale2024analyzing,2024,"Scott A. Hale , Adriano Belisario, Ahmed Nasser Mostafa, Chico Camargo","International Journal of Public Opinion Research, 36, edae032",Capes,8,"WhatsApp, Twitter, e Kwai",Brasil,Multiplos,"53,8 milhões de tweets(2022); 23.737 posts no Kwai de 13.068 usuários(2022); 49.422 mensagens do WhatsApp(2022)",(Política),,,,,,
Renan,COVID-19-Related Social Media Fake News in India,al2021covid,2021,Md. Sayeed Al-Zaman,"Journal. Media 2021, 2(1), 100-114",Capes,120,,India,"125 notícias falsas analisadas por meio de conteúdo de um site de fact-checking (AltNews), com codificação manual por dois pesquisadores.","125 fake news relacionadas à COVID-19, coletadas entre 29 de janeiro e 11 de abril de 2020.","Tópico dos dados: Saúde (67%), religiopolítica e política (24%); foco na pandemia da COVID-19.","WhatsApp aparece como um dos canais principais para disseminação, favorecido pelo anonimato, rapidez de circulação de conteúdo multimídia e ausência de moderação automática eficaz.","O estudo destaca baixa literacia midiática, desconfiança institucional, tensão social durante a pandemia e polarização religiosa como fatores externos que alimentam a propagação de fake news.","A desinformação gerou pânico social, aumento da ansiedade, negação de tratamento médico a minorias religiosas e disseminação de curas falsas, prejudicando gravemente a saúde pública.","Sugere filtragem e monitoramento de conteúdos, produção de informações confiáveis por autoridades de saúde e uso de estratégias de fact-checking; cita intervenções como “accuracy nudges” (sugestões de veracidade).","Cita iniciativas voluntárias de fact-checking e ações de redes sociais para remover conteúdos falsos, embora ressalte que medidas governamentais na Índia (como corte da internet) são ineficazes e problemáticas.",
Renan,Detection of fake images on whatsApp using socio-temporal features,kaur2022detection,2022,"M Kaur, P Daryani, M Varshney, R Kaushal","
Social Network Analysis and Mining
 Volume 12, article number 58, (2022) ",Capes,2,,India/Brasil,"Conjunto de dados real de imagens e metadados compartilhados em grupos públicos de WhatsApp na Índia e no Brasil, durante eleições.","~810 mil imagens (Índia: 84.928 imagens), compartilhadas por ~63 mil usuários ao longo de 2,5 meses.",Política; desinformação visual durante o período eleitoral.,"WhatsApp permite criptografia de ponta a ponta, compartilhamento massivo e anonimato, dificultando a verificação de conteúdo visual e rastreio da origem.","Cenário político polarizado, uso estratégico de imagens falsas por grupos organizados, e baixo letramento visual/digital dificultam a checagem crítica dos usuários.","Foco é técnico, mas aponta que imagens falsas durante eleições afetam a opinião pública, minam a confiança no processo eleitoral e amplificam conflitos ideológicos.","Sim: propõe um modelo de machine learning baseado em características temporais e contextuais sociais (usuários e grupos) para detectar imagens falsas, com até 71% de acurácia.","Não detalha ações das plataformas diretamente, mas sugere que soluções como verificação via hash local e modelos baseados em redes sociais são promissores e compatíveis com criptografia.",
Renan,Don’t Break the Chain: Measuring Message Forwarding on WhatsApp | Proceedings of the International AAAI Conference on Web and Social Media,Melo_Hoseini_Zannettou_Benevenuto_2024,2024,"P de Freitas Melo, M Hoseini, S Zannettou, F Benevenuto",Proceedings of the International AAAI Conference on Web and Social Media,Capes,6,WhatsApp,Brasil,"Coleta direta de dados em 1.101 grupos públicos de WhatsApp no Brasil com foco em política, durante o período eleitoral de 2022.","~10 milhões de mensagens; 1,86 milhão de mídias únicas; ~2,5 milhões de mensagens encaminhadas.",Política; desinformação e virais durante as eleições presidenciais brasileiras de 2022.,"A criptografia ponta a ponta, anonimato, facilidade de reencaminhamento e a falha da plataforma em identificar todos os conteúdos virais (59% dos casos não recebem o selo “Forwarded Many Times”) favorecem a viralização sem controle.","Usuários politicamente engajados compartilham intencionalmente conteúdos manipulados; há instruções explícitas para burlar os limites da plataforma (ex: copiar e colar ao invés de encaminhar), e baixa literacia digital contribui para o consumo acrítico.",,,,
Renan,Fake News Detection With the Help of Computation Time to Increase Accuracy | IGI Global Scientific Publishing,umamaheswari2023fake,2023,"P Umamaheswari, N Umasankari, S Samuel",Risk Detection and Cyber Security for the Success of Contemporary Computing,Capes,1,-,-,-,-,Combate,,,,,,
Renan,"Predicting the Veracity of Fake Information on Smart Media for Reducing Misinformation Diffusion by Isha Agarwal, Dipti P. Rana, Anjali S. More :: SSRN",agarwal2018predicting,2018,"Isha Agarwal a , Dr. Dipti P. Ranab , Anjali S. More",International Journal of Computational Intelligence & IoT,Capes,86,Twitter,India,Usou conjunto de dados real coletado do Twitter (tweets com links para notícias verdadeiras e falsas).," 9.270 tweets (4.635 verdadeiros + 4.635 falsos), balanceado.","Política, mídia e desinformação geral.","Ambiente com alta viralização via retweets, ausência de checagem automática e liberdade excessiva de postagem.","População com pouco senso crítico, polarização política e consumo acrítico de conteúdo digital.","Manipulação política (como nas eleições), desconfiança nas mídias tradicionais e efeitos psicológicos na população.","Modelo híbrido com IA (content + user + network-based) para detectar veracidade de tweets; uso de ML (ex: Simple Logistic, SVM, etc.).","Ferramentas como TweetCred, TwitterTrails, Hoaxy e RumorLens que rastreiam, classificam ou avaliam credibilidade de conteúdo.",
Renan,Using Blockchain to Rein in the New Post-Truth World and Check the Spread of Fake News,8764081,2019,"Adnan Qayyum, Junaid Qadir, Muhammad Umar Janjua, and Falak Sher","IT Professional ( Volume: 21, Issue: 4, 01 July-Aug. 2019)",Capes,162,Facebook e WhatsApp,Paquistão,Não,Não,"Política, mídia e desinformação em geral.","Características internas das plataformas que favorecem o espalhamento de desinformação:
Newsfeeds personalizados e bolhas de filtro reforçam vieses e dificultam checagem da veracidade","Polarização ideológica, viés de confirmação e uso de bots para influenciar opiniões políticas.","Manipulação de eleições, linchamentos por boatos (ex.: Índia), ataques à democracia e à segurança","Framework baseado em blockchain com smart contracts, reputação evolutiva e verificação semântica","Iniciativas como Google News Initiative, Solid, e blockchain para rastrear e autenticar conteúdo.",
Renan,WhatsApp Monitor: A Fact-Checking System for WhatsApp | Proceedings of the International AAAI Conference on Web and Social Media,Melo_Messias_Resende_Garimella_Almeida_Benevenuto_2019,2019,"Philipe Melo,Johnnatan Messias,Gustavo Resende,Kiran Garimella,Jussara Almeida,Farbr ́ıcio Benevenuto",Vol. 13 (2019): Thirteenth International AAAI Conference on Web and Social Media,Capes,86,WhatsApp,Brasil,,,,,,,,,
Ana Flávia,A First Look at COVID-19 Messages on WhatsApp in Pakistan,9381360,2020,"R. Tallal Javed; Mirza Elaaf Shuja; Muhammad Usama; Junaid Qadir; Waleed Iqbal; Gareth Tyson
","Conferencia: International Conference on Advances in Social Network Analysis and Mining, ASONAM",IEEE,27,WhatsApp e Twitter,Paquistão,Coletaram mensagens de 227 grupos do WhatsApp e o Twitter,"5039 mensagens de texto, 2308 imagens relacionadas e  800,000 tweets com # sobre Covid",Saúde (Covid-19),"Como o WhatsApp é uma plataforma fechada, sem moderação de conteúdo ou verificação de fatos por terceiros, é esperado que a desinformação dure mais tempo. ",A polarização política e o contexto da pandemia,"Impactos na saúde, falando sobre sintomas incorretos de Covid e tratamentos ineficazes.",-,,
João Francisco,Unsupervised WhatsApp Fake News Detection using Semantic Search,9120902,2020,"J Gaglani, Y Gandhi, S Gogate, A Halbe", International Conference on ent Computing and Control Systems (ICICCS) ,IEEE,37,Whatsapp,-,mensagens de 10 grupos usando 3 contas diferentes,1000 mensagens,Combate,criptografia,-,"polarização, tensões étnicas/culturais, pânico, histeria em massa",detector automatizado com NLP e transformers (78% de acurácia),limite de forward,
